player_id,first_name,last_name,country,wins,matches,losses,win_rate,best_surface
207925,Flavio,Cobolli,ITA,75,140,65,0.5357,Clay
207989,Carlos,Alcaraz,ESP,280,345,65,0.8116,Grass
208029,Holger,Rune,DEN,179,286,107,0.6259,Hard
208103,Jiri,Lehecka,CZE,119,208,89,0.5721,Grass
208286,Matteo,Arnaldi,ITA,68,136,68,0.5,Clay
208363,Mariano,Navone,ARG,36,83,47,0.4337,Clay
208659,Giovanni,Mpetshi Perricard,FRA,38,79,41,0.481,Hard
209113,Gabriel,Diallo,CAN,41,80,39,0.5125,Hard
209260,Luciano,Darderi,ITA,55,110,55,0.5,Clay
209950,Arthur,Fils,FRA,85,143,58,0.5944,Clay
209992,Juncheng,Shang,CHN,35,76,41,0.4605,Hard
210097,Ben,Shelton,USA,111,188,77,0.5904,Hard
210150,Jakub,Mensik,CZE,62,104,42,0.5962,Hard
210506,Alex,Michelsen,USA,66,131,65,0.5038,Grass
210530,Learner,Tien,USA,42,72,30,0.5833,Hard
211663,Joao,Fonseca,BRA,39,63,24,0.619,Hard
