player_id,first_name,last_name,country,surface,wins,matches,win_rate,surface_rank
111153,Christopher,Eubanks,USA,Hard,26,74,0.3514,186
207985,Jacob,Fearnley,GBR,Hard,7,20,0.35,187
127157,Daniel,Altmaier,GER,Hard,30,86,0.3488,188
109739,Maximilian,Marterer,GER,Hard,19,57,0.3333,189
103794,Benjamin,Becker,GER,Hard,13,39,0.3333,190
106214,Oscar,Otte,GER,Hard,15,47,0.3191,191
111460,Quentin,Halys,FRA,Hard,27,86,0.314,192
104665,Pablo,Andujar,ESP,Hard,19,65,0.2923,193
202104,Sebastian,Baez,ARG,Hard,23,79,0.2911,194
105643,Federico,Delbonis,ARG,Hard,24,83,0.2892,195
105053,Santiago,Giraldo,COL,Hard,9,32,0.2813,196
103565,Stephane,Robert,FRA,Hard,8,29,0.2759,197
208363,Mariano,Navone,ARG,Hard,8,29,0.2759,197
103607,Victor,Estrella,DOM,Hard,9,35,0.2571,199
106398,Pedro,Cachin,ARG,Hard,5,21,0.2381,200
209260,Luciano,Darderi,ITA,Hard,8,36,0.2222,201
126523,Bernabe,Zapata Miralles,ESP,Hard,7,32,0.2188,202
106065,Marco,Cecchinato,ITA,Hard,12,55,0.2182,203
105948,Federico,Coria,ARG,Hard,6,32,0.1875,204
104252,Florian,Mayer,GER,Hard,3,22,0.1364,205
